age,prediction,confidence
40,CHURN RISK,0.9553230625583565
19,CHURN RISK,0.98
36,CHURN RISK,0.9553230625583565
29,SAFE USER,0.10480210591308717
62,SAFE USER,0.08376805911722557
23,SAFE USER,0.09630355856789101
39,SAFE USER,0.04285451075853519
33,SAFE USER,0.05152317356570148
31,CHURN RISK,0.9736470588235295
33,CHURN RISK,0.9736470588235295
45,SAFE USER,0.05255726344516291
37,SAFE USER,0.09963055426292418
55,SAFE USER,0.07894489275363929
46,SAFE USER,0.06169544544685466
56,SAFE USER,0.10136758822199954
21,CHURN RISK,0.9866666666666667
18,CHURN RISK,0.9733333333333334
35,CHURN RISK,0.9553230625583565
30,SAFE USER,0.06273914326354965
19,CHURN RISK,0.98
58,SAFE USER,0.07894489275363929
36,SAFE USER,0.09963055426292418
40,SAFE USER,0.04387173356698192
31,SAFE USER,0.05558276466272662
45,SAFE USER,0.11936287390960618
61,SAFE USER,0.11265694800611446
56,SAFE USER,0.09043472578389224
51,SAFE USER,0.06572750144929149
47,SAFE USER,0.06705317873909862
29,CHURN RISK,0.9736470588235295
32,SAFE USER,0.09795455052809691
58,SAFE USER,0.08049943127385288
32,CHURN RISK,0.9736470588235295
31,CHURN RISK,0.9736470588235295
22,CHURN RISK,0.98
35,CHURN RISK,0.9553230625583565
57,SAFE USER,0.0932054832622959
25,CHURN RISK,0.9742182890855458
37,CHURN RISK,0.9553230625583565
37,CHURN RISK,0.9553230625583565
40,SAFE USER,0.048255125629607376
32,SAFE USER,0.0841959752016933
54,SAFE USER,0.11410163782009757
46,SAFE USER,0.06636211211352132
22,CHURN RISK,0.98
60,SAFE USER,0.10207168983112908
33,SAFE USER,0.06273914326354965
29,CHURN RISK,0.9736470588235295
30,CHURN RISK,0.9736470588235295
41,SAFE USER,0.046676850387822384
33,CHURN RISK,0.9685953390305723
50,SAFE USER,0.06201351454769792
30,CHURN RISK,0.9736470588235295
23,CHURN RISK,0.9742182890855458
60,SAFE USER,0.08376805911722557
37,CHURN RISK,0.9553230625583565
63,SAFE USER,0.090546082264542
18,CHURN RISK,0.9666666666666667
35,SAFE USER,0.09963055426292418
39,CHURN RISK,0.9553230625583565
39,CHURN RISK,0.9553230625583565
35,CHURN RISK,0.9553230625583565
32,CHURN RISK,0.9736470588235295
25,SAFE USER,0.09630355856789101
35,SAFE USER,0.04499267751978428
28,CHURN RISK,0.9736470588235295
18,CHURN RISK,0.9733333333333334
43,SAFE USER,0.058604829049628444
58,SAFE USER,0.10207168983112908
65,SAFE USER,0.07243991549672812
65,SAFE USER,0.07751214711316419
31,SAFE USER,0.05390412594665385
22,CHURN RISK,0.98
36,SAFE USER,0.09963055426292418
29,SAFE USER,0.056030365922365384
33,SAFE USER,0.05456768986336911
38,SAFE USER,0.10647810964791443
27,CHURN RISK,0.9736470588235295
57,SAFE USER,0.09721274893120867
40,CHURN RISK,0.9553230625583565
27,SAFE USER,0.05545455953452149
43,SAFE USER,0.045890596778496245
30,CHURN RISK,0.9736470588235295
56,SAFE USER,0.09172750144929148
33,SAFE USER,0.06952930853502662
41,SAFE USER,0.046676850387822384
23,SAFE USER,0.09630355856789101
65,SAFE USER,0.0713428860646761
55,SAFE USER,0.08812191570848302
29,CHURN RISK,0.9736470588235295
30,CHURN RISK,0.9736470588235295
52,SAFE USER,0.0797951744288961
36,SAFE USER,0.04922513089531733
44,SAFE USER,0.05969544544685466
32,SAFE USER,0.10480210591308717
35,SAFE USER,0.04851642087092366
43,SAFE USER,0.058604829049628444
26,CHURN RISK,0.9736470588235295
34,SAFE USER,0.043418197423915526
19,CHURN RISK,0.98
39,SAFE USER,0.04792739111569908
37,CHURN RISK,0.9553230625583565
33,SAFE USER,0.05456768986336911
35,CHURN RISK,0.9553230625583565
51,SAFE USER,0.05449943127385288
52,SAFE USER,0.08387941559787533
31,SAFE USER,0.10480210591308717
25,SAFE USER,0.05033133634566878
37,SAFE USER,0.10647810964791443
36,SAFE USER,0.04285451075853519
18,CHURN RISK,0.9666666666666667
58,SAFE USER,0.08572291590095572
50,SAFE USER,0.07250552459660789
49,SAFE USER,0.07306108015216345
35,CHURN RISK,0.9553230625583565
19,CHURN RISK,0.9866666666666667
44,SAFE USER,0.062304207545682985
27,SAFE USER,0.05506497005194158
54,SAFE USER,0.09265694800611447
34,SAFE USER,0.037205562673845914
53,SAFE USER,0.0794369043679994
36,CHURN RISK,0.9553230625583565
26,SAFE USER,0.05482684035385765
29,SAFE USER,0.0555393909611451
20,CHURN RISK,0.9866666666666667
51,SAFE USER,0.06572750144929149
19,CHURN RISK,0.9866666666666667
34,SAFE USER,0.09869099480197606
47,SAFE USER,0.06169544544685466
59,SAFE USER,0.08702895478839402
36,SAFE USER,0.09963055426292418
37,SAFE USER,0.09963055426292418
34,SAFE USER,0.09869099480197606
27,CHURN RISK,0.9736470588235295
31,SAFE USER,0.10480210591308717
23,CHURN RISK,0.9742182890855458
31,SAFE USER,0.10480210591308717
40,SAFE USER,0.10592255409235889
35,CHURN RISK,0.9553230625583565
21,CHURN RISK,0.98
20,CHURN RISK,0.9866666666666667
31,CHURN RISK,0.9736470588235295
34,SAFE USER,0.047428279850033984
64,SAFE USER,0.09832934115426975
31,SAFE USER,0.05619597520169329
45,SAFE USER,0.06611234633400086
41,SAFE USER,0.045355717174731865
63,SAFE USER,0.09183885792994123
26,CHURN RISK,0.9736470588235295
64,SAFE USER,0.10507831234768537
29,SAFE USER,0.07665000711829034
39,CHURN RISK,0.9553230625583565
34,SAFE USER,0.09869099480197606
51,SAFE USER,0.06739782799144524
42,SAFE USER,0.06016816910786825
24,CHURN RISK,0.9742182890855458
23,CHURN RISK,0.9742182890855458
63,SAFE USER,0.09549268398427924
28,SAFE USER,0.05578789286785483
42,SAFE USER,0.11258922075902554
29,SAFE USER,0.09795455052809691
22,CHURN RISK,0.98
29,SAFE USER,0.09795455052809691
60,SAFE USER,0.09549268398427924
30,SAFE USER,0.0535393909611451
58,SAFE USER,0.09549268398427924
32,CHURN RISK,0.9736470588235295
29,SAFE USER,0.0535393909611451
26,SAFE USER,0.046670282283789825
65,SAFE USER,0.08177473526633051
58,SAFE USER,0.09504675310356575
28,SAFE USER,0.05619597520169329
26,SAFE USER,0.046670282283789825
38,CHURN RISK,0.9553230625583565
37,SAFE USER,0.04559873812584489
28,CHURN RISK,0.9736470588235295
65,SAFE USER,0.09033757160694461
51,SAFE USER,0.05449943127385288
47,SAFE USER,0.06697087421234967
59,SAFE USER,0.08506083478262481
62,SAFE USER,0.11265694800611446
43,SAFE USER,0.06705317873909862
39,SAFE USER,0.05041990355265513
40,SAFE USER,0.10592255409235889
32,SAFE USER,0.054859841846813376
30,CHURN RISK,0.9736470588235295
28,CHURN RISK,0.9736470588235295
47,SAFE USER,0.10097896542043451
64,SAFE USER,0.09832934115426975
22,SAFE USER,0.08875193614901195
27,SAFE USER,0.05855708631280441
25,SAFE USER,0.076303558567891
41,SAFE USER,0.05353055439510237
64,SAFE USER,0.09166267448760308
26,SAFE USER,0.09573232830587469
27,CHURN RISK,0.9736470588235295
22,CHURN RISK,0.98
41,SAFE USER,0.047260479079493774
52,SAFE USER,0.0804736350123846
19,CHURN RISK,0.9866666666666667
64,SAFE USER,0.08361741027105894
20,CHURN RISK,0.98
37,CHURN RISK,0.9553230625583565
42,SAFE USER,0.0534548735351388
37,CHURN RISK,0.9553230625583565
32,SAFE USER,0.043643872148965195
40,SAFE USER,0.10592255409235889
36,SAFE USER,0.04499267751978428
29,CHURN RISK,0.9736470588235295
28,CHURN RISK,0.9736470588235295
22,CHURN RISK,0.98
19,SAFE USER,0.08208526948234528
40,CHURN RISK,0.9553230625583565
28,CHURN RISK,0.9736470588235295
30,SAFE USER,0.05526213430781355
45,SAFE USER,0.07731205338422921
64,SAFE USER,0.08817881377983088
32,SAFE USER,0.10480210591308717
40,CHURN RISK,0.9553230625583565
32,SAFE USER,0.05152317356570148
55,SAFE USER,0.0943426514944362
21,CHURN RISK,0.9866666666666667
50,SAFE USER,0.0649824355009016
51,SAFE USER,0.0668181178465177
38,SAFE USER,0.09963055426292418
39,CHURN RISK,0.9553230625583565
64,SAFE USER,0.08688603811443163
56,SAFE USER,0.08795195036191723
40,SAFE USER,0.05125581732035895
36,CHURN RISK,0.9553230625583565
54,SAFE USER,0.07988283524871291
55,SAFE USER,0.0943426514944362
18,CHURN RISK,0.9666666666666667
55,SAFE USER,0.13396149141592104
58,SAFE USER,0.0985055245966079
58,SAFE USER,0.09721274893120867
35,CHURN RISK,0.9553230625583565
58,SAFE USER,0.09504675310356575
38,SAFE USER,0.04171475636562946
24,CHURN RISK,0.9742182890855458
38,SAFE USER,0.05580949303523504
39,SAFE USER,0.07165934418645095
23,CHURN RISK,0.9742182890855458
40,SAFE USER,0.05064975671429834
31,SAFE USER,0.0555393909611451
39,SAFE USER,0.10647810964791443
39,SAFE USER,0.07165934418645095
32,SAFE USER,0.05558276466272662
30,SAFE USER,0.05558276466272662
18,CHURN RISK,0.9666666666666667
31,SAFE USER,0.05619597520169329
62,SAFE USER,0.08506083478262481
36,CHURN RISK,0.9553230625583565
30,SAFE USER,0.049983340451623684
39,CHURN RISK,0.9553230625583565
40,CHURN RISK,0.9553230625583565
27,SAFE USER,0.05855708631280441
27,SAFE USER,0.10480210591308717
61,SAFE USER,0.08572291590095572
53,SAFE USER,0.07885719422307186
33,SAFE USER,0.04668838844663284
20,CHURN RISK,0.98
19,SAFE USER,0.08208526948234528
